County,Gross monthly earnings,Average hours of work per month for one employee,Births,Deaths,Natural increase,Housing places,Overnight stays of accommodated guests,Destroyed forest stands,Industrial production,Basic education graduates,Secondary education graduates,Population projection for year 2030,Population projection for year 2045,Population as of year 2021
Harju maakond,1588,448,6453,5950,503,223,1390794,88.1,5601,5644,3212,648978,712028,365793
Hiiu maakond,1063,444,63,106,-43,51,42009,12.5,50.2,73,40,8913,7682,9210
Ida-Viru maakond,1161,438,892,2228,-1336,68,310537,103.9,1603,1247,578,115438,86734,23551
Järva maakond,1282,449,300,432,-132,36,31760,376.1,194.7,303,106,25979,20021,28198
Jõgeva maakond,1145,442,231,400,-169,38,36014,89.5,162.1,253,141,24770,19300,25540
Lääne maakond,1155,451,198,285,-87,80,126047,40.8,76.9,216,121,18308,14896,17972
Lääne-Viru maakond,1181,444,569,818,-249,76,181344,381.4,688.8,555,270,52442,42515,50964
Pärnu maakond,1147,448,805,1179,-374,182,576647,289.1,659.5,818,412,80681,72708,76714
Põlva maakond,1229,438,209,358,-149,41,38564,101,64.8,221,99,22027,17939,23339
Rapla maakond,1199,452,317,393,-76,21,24515,159.5,252.5,352,148,31336,27091,31190
Saare maakond,1148,434,324,439,-115,186,235392,42.8,236,275,172,31170,27532,32342
Tartu maakond,1447,443,1825,1629,196,112,327566,120,1172.4,1653,1086,156229,160790,129979
Valga maakond,1106,449,276,414,-138,82,141825,192,195,278,115,24163,18889,22449
Viljandi maakond,1188,444,441,609,-168,60,79095,177.2,536,453,227,41258,33706,43795
Võru maakond,1169,447,303,552,-249,71,131903,140.1,252.1,331,150,32093,26822,33110
